Name;URL;Author;Price;Number of Ratings;Average Ratings
Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10);https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777?_encoding=UTF8&psc=1;Wonder House Books;₹ 189.00;1,993;4.4 out of 5 stars
My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of The Body and Objects Around Us.;https://www.amazon.in/First-1000-Words-Transport-Professions/dp/9388144112?_encoding=UTF8&psc=1;Wonder House Books;₹ 149.00;1,614;4.4 out of 5 stars
Mathematics for Class 8 (Examination 2021-22);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/818992804X?_encoding=UTF8&psc=1;R.D. Sharma;₹ 378.00;1,362;4.6 out of 5 stars
NTA UGC NET/ SET/ JRF : Paper 1 Teaching and Research Aptitude | Fifth Edition | By Pearson;https://www.amazon.in/NTA-UGC-NET-SET-JRF/dp/9390577675?_encoding=UTF8&psc=1;Not available;₹ 359.00;42;4.4 out of 5 stars
Sapiens: A Brief History of Humankind;https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1;Yuval Noah Harari;₹ 392.00;30,464;4.7 out of 5 stars
The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Murty for ages 8–12;https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X?_encoding=UTF8&psc=1;Not available;₹ 133.00;1,972;4.7 out of 5 stars
Wren & Martin High School English Grammar and Composition Book (Regular Edition);https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;Rao N;₹ 278.00;3,588;4.4 out of 5 stars
Unfinished: A Memoir;https://www.amazon.in/Unfinished-Memoir-Priyanka-Chopra-Jonas/dp/0670094978?_encoding=UTF8&psc=1;Priyanka Chopra Jonas;₹ 452.00;1,485;4.4 out of 5 stars
Oswaal CBSE Sample Question Paper Class 10 Mathematics Standard Book (Reduced Syllabus for 2021 Exam);https://www.amazon.in/Question-Mathematics-Standard-Reduced-Syllabus/dp/9390411130?_encoding=UTF8&psc=1;Oswaal Editorial Board;₹ 176.00;423;4.6 out of 5 stars
The Monk Who Sold His Ferrari;https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1;Robin Sharma;₹ 153.00;11,885;4.5 out of 5 stars
Secondary School Mathematics for Class 9 (Examination 2020-2021);https://www.amazon.in/Secondary-School-Mathematics-Class-Examination/dp/9350271850?_encoding=UTF8&psc=1;R.S. Aggarwal;₹ 374.00;485;4.4 out of 5 stars
Lines and Curves (Pattern Writing) - Part 1;https://www.amazon.in/Lines-Curves-Pattern-Writing-Part/dp/1730152287?_encoding=UTF8&psc=1;Not available;₹ 60.00;2,141;4.4 out of 5 stars
10 Last Years Solved Papers: CBSE Class 10 for 2021 Examination;https://www.amazon.in/Last-Years-Solved-Papers-Examination/dp/9389937345?_encoding=UTF8&psc=1;Oswal Publishers;₹ 408.00;550;4.4 out of 5 stars
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids;https://www.amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006?_encoding=UTF8&psc=1;Not available;₹ 499.00;363;4.5 out of 5 stars
Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1);https://www.amazon.in/Brain-Games-Clever-Kids-Buster/dp/1780552491?_encoding=UTF8&psc=1;Not available;₹ 199.00;4,123;4.3 out of 5 stars
Man's Search For Meaning: The classic tribute to hope from the Holocaust;https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;Viktor E Frankl;₹ 180.00;28,347;4.5 out of 5 stars
The Blue Umbrella;https://www.amazon.in/Blue-Umbrella-Ruskin-Bond/dp/8171673406?_encoding=UTF8&psc=1;Ruskin Bond;₹ 95.00;3,986;4.5 out of 5 stars
101 Panchatantra Stories;https://www.amazon.in/101-Panchatantra-Stories-Dreamland-Publications/dp/938797149X?_encoding=UTF8&psc=1;Dreamland Publications;₹ 110.00;3,398;4.3 out of 5 stars
Essentials of Medical Pharmacology;https://www.amazon.in/Essentials-Medical-Pharmacology-K-Tripathi/dp/9352704991?_encoding=UTF8&psc=1;K. D. Tripathi;₹ 1,478.00;1,255;4.6 out of 5 stars
T.S. Grewal's Double Entry Book Keeping: Accounting for Not-for-Profit Organizations and Partnership Firms -( Vol. 1) Textbook for CBSE Class 12 (2021-22 Session);https://www.amazon.in/Grewals-Double-Entry-Keeping-Profit/dp/8194946905?_encoding=UTF8&psc=1;Not available;₹ 402.00;20;4.7 out of 5 stars
